x	y	z	t	c	intensity
12.8455	139.3228	6.9043	1	1	227.4925
99.9823	18.2599	12.9414	1	1	234.1575
119.4062	48.1908	16.0317	1	1	226.9790
30.1281	100.2692	24.0712	1	1	227.0755
81.2506	76.0477	17.9023	1	1	237.6828
90.7535	108.8492	23.7553	1	1	231.9784
79.9299	147.3103	24.7697	1	1	222.9747
37.1964	215.6482	9.3557	1	1	227.6309
100.2074	209.3104	10.6919	1	1	226.3096
113.2977	251.2010	8.7296	1	1	233.8846
77.9163	161.8435	12.3148	1	1	229.5618
7.0236	167.3015	18.8294	1	1	238.2390
27.2656	205.5648	24.5685	1	1	229.4220
75.9517	159.3753	15.6652	1	1	232.4460
125.9836	155.1355	7.1103	1	1	227.8556
211.8115	72.5258	17.9979	1	1	228.2213
234.8591	34.4036	17.8425	1	1	230.1436
245.3930	125.3572	18.3184	1	1	234.9287
167.9913	125.9524	19.6731	1	1	231.9824
180.7165	115.5855	22.0449	1	1	229.8126
244.5687	140.2271	23.5099	1	1	230.2143
137.8048	143.5249	6.5595	1	1	244.5628
159.0243	166.4015	11.6013	1	1	227.6297
167.3962	160.9742	7.2838	1	1	238.6075
191.2230	209.9198	15.8272	1	1	231.4110
240.0688	209.8969	17.6909	1	1	230.8889
140.4007	249.8801	21.1998	1	1	227.1137
215.7818	245.6692	22.4736	1	1	228.1030
248.7071	237.5017	22.0438	1	1	225.0929
